,ID,comentarios,categoria,rating
0,17,me gusta la programacion,5.0,4.264493956465787
1,72,instalacion creacion dispositivo celular personal movil interface camara movimiento automatico matematica robot startup empresa imagen ,7.0,1.354899164870767
2,8,Me gusta mucho el aprendizaje automatico que pueden tener las computadoras,2.0,1.0820025349828866
3,32,me gustaria hacer programas grandes con base de datos,7.0,1.762006912338676
4,15,me gusta organizar en equipo,5.0,3.3168624615392996
5,63,me gustaria programar videojuegos,5.0,2.669328183841775
6,57,me gusta pintar dibujar colores interfaz,6.0,2.3533281064330493
7,60,algoritmo aprendizaje maquina descifrador,1.0,1.3089668710467208
8,48,autenticacion navegador depurador,3.0,1.0241133472274357
9,26,usuario cliente Unix,1.0,3.5947974099647193
10,12,navegador web diseño red conexion datos,9.0,1.0383989964086684
11,62,cabeza crecer,6.0,1.907361240434304
12,3,actividad armar torre motivo desarrollar idea problema simple vista,1.0,4.401235236422147
13,49,forma idea negocio,7.0,3.03154302344475
14,55,actividad hacer torre trabajar equipo,0.0,4.346802200276549
15,77,construir torre equipo,8.0,3.766271189402444
16,0,torre cuenta organización poder hacer proyecto mejor,8.0,4.033470544631911
17,57,realizar actividad divertido,4.0,4.8167303005267
18,34,hacer torre gusto levantar torre grupo,0.0,4.100462591190219
19,29,construir torre equipo trabajar conjunto utilizar lograr objetivo,0.0,4.044403206820819
20,75,trabajo diferente,0.0,3.165333043110464
21,13,trabajar equipo,0.0,2.6973733722297535
22,40,armar prototipo trabajar,1.0,2.6617046529313644
23,3,actividad experiencia,2.0,4.575992018192835
24,2,trabajo programa convivir adecuadamente llegar producto final,5.0,3.412052775006024
25,3,explicar manera,5.0,2.9959905395148176
26,69,dinámica torre ser poder,8.0,4.267604183158055
27,1,saber hacer proyecto,2.0,2.4991665307936426
28,48,torre dinámica,5.0,4.051705536455545
29,27,idea realizar si límites establecido,7.0,3.439100804342678
30,54,dinámica forma,5.0,3.7050389236478027
31,3,dinámica forma,5.0,3.7050389236478027
32,67,diseñar torre equilibrio grupo objetivo,8.0,4.311225689469486
33,28,actividad intentar nunca hecho cuenta,7.0,1.9016027559258355
34,56,forma punto vista específico,4.0,4.181834114431646
35,63,explicación proyecto creativo,7.0,3.704720354771891
